Item #,Category,Sub Category,Product Name,Product Link,Small Image Link,Large Image Link,Size,Dimensional Size,Length,Width,Height,Weight,Color,Detail,SKU,Description,KeyFeatures,MSRP,MAP,Price
12-161              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12161.jpg,https://www.foxoutdoor.com/item_images_lg/12161.jpg,                                                  ,,,,,0.2,,15 grams / Black Pepper Gel (Sabre® Red) / 0.20 lbs.  ,23063153087,SABRE RED PEPPER GEL 15 GRAMS HARD CASE - BLACK       ,,16.95,13.95,6.75
12-162              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12162.jpg,https://www.foxoutdoor.com/item_images_lg/12162.jpg,                                                  ,,,,,0.2,,15 grams / Pink Pepper Gel (Sabre® Red) / 0.20 lbs. ,23063153094,SABRE RED PEPPER GEL 15 GRAMS HARD CASE - PINK        ,,17.95,14.95,6.9
12-18               ,Adventure,Personal & Home Protection,Sabre Home Away Protection Kit,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1087,https://www.foxoutdoor.com/item_images_sm/1218.jpg,https://www.foxoutdoor.com/item_images_lg/1218.jpg,                                                  ,,,,,0.45,,,23063603599,SABRE HOME AWAY PROTECTION KIT - BLACK                , Home unit glow-in-the-dark &amp; wall mount clip. Key chain quick release. Advanced 3-in-1 self defense spray. Made in the USA,28.95,23.95,11.5
12-185              ,Adventure,Personal & Home Protection,Sabre Sport & Safety Horn,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1568,https://www.foxoutdoor.com/item_images_sm/12185.jpg,https://www.foxoutdoor.com/item_images_lg/12185.jpg,                                                  ,,,,,0.25,,,23063955049,SABRE SPORT & SAFETY HORN                             ,,19.95,15.95,7.9
12-186              ,Adventure,Personal & Home Protection,Sabre Mini Personal Alarm,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1569,https://www.foxoutdoor.com/item_images_sm/12186.jpg,https://www.foxoutdoor.com/item_images_lg/12186.jpg,                                                  ,,,,,0.1,,,23063809403,SABRE MINI PERSONAL ALARM - BLACK                     ,,14.95,11.95,5.75
12-187              ,Adventure,Personal & Home Protection,Sabre Runner Personal Alarm,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1570,https://www.foxoutdoor.com/item_images_sm/12187.jpg,https://www.foxoutdoor.com/item_images_lg/12187.jpg,                                                  ,,,,,0.25,,,23063811130,SABRE RUNNER PERSONAL ALARM - BLACK                   ,,27.95,22.95,10.9
12-190              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12190.jpg,https://www.foxoutdoor.com/item_images_lg/12190.jpg,                                                  ,,,,,0.25,,15 grams / Pink Stop Strap (Sabre® Red) / 0.25 lbs.,2303155012,SABRE RED P/SPRAY 15 GR STOP STRAP - PINK             ,,33.95,27.95,13.25
12-191              ,Enforcement,Personal Protection,Sabre Red Pepper Self Defense Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=587,https://www.foxoutdoor.com/item_images_sm/12191.jpg,https://www.foxoutdoor.com/item_images_lg/12191.jpg,                                                  ,,6,,,0.25,,15 grams / Black Stop Strap (Sabre® Red) / 0.25 lbs.,23063155005,SABRE RED P/SRAY 15 GR STOP STRAP - BLACK             , 10% oleoresin capsicum. 13.3% and UV dye 2 000 000 SHU's. Made in the USA,33.95,27.95,13.25
12-20               ,Enforcement,Personal Protection,1.5 Million Volt Stun Gun,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=157,https://www.foxoutdoor.com/item_images_sm/1220.jpg,https://www.foxoutdoor.com/item_images_lg/1220.jpg,                                                  ,,,,,0.5,,                                                                                                    ,24718122007,UZI STUN GUN 1.5 MILLION VOLTS                        , Easy and safe to use. No permanent damage. Neutralizes potential threats . Carry case. Built in rechargeable battery ,99.95,79.95,39.9
12-21               ,Adventure,Safety Glasses,650 000 Volt Stun Gun,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=148&cscid=156,https://www.foxoutdoor.com/item_images_sm/1221.jpg,https://www.foxoutdoor.com/item_images_lg/1221.jpg,                                                  ,,,,,0.3,,                                                                                                    ,24718906508,UZI STUN GUN 650 000 VOLTS                            , Easy and safe to use . No permanent damage. Creates a bright  audible crackle. Immobilize and neutralize potential threats. Carry case. Uses 9 volt Battery ,99.95,79.95,39.9
12-213              ,Adventure,Safety Glasses,Sabre 800 000 Volt Stun Gun,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=148&cscid=1210,https://www.foxoutdoor.com/item_images_sm/12213.jpg,https://www.foxoutdoor.com/item_images_lg/12213.jpg,                                                  ,,,,,0.3,Pink,,23063808017,SABRE 800 000 VOLT STUN GUN - PINK                    , Safety Switch to prevent accidental discharge. Built in LED flashlight. Red LED light alerts you when stun gun is armed. Holster included. Uses (2) CD123A Lithium lon batteries,57.95,46.95,22.9
12-22               ,Adventure,Safety Glasses,Baton Stun Gun,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=148&cscid=152,https://www.foxoutdoor.com/item_images_sm/1222.jpg,https://www.foxoutdoor.com/item_images_lg/1222.jpg,                                                  ,,,,,0.75,,                                                                                                    ,24718901053,UZI BATON STUN GUN                                    , 500 000 Volts. Holster included. 9-volt battery (not included) ,114.95,91.95,45.9
12-24               ,Adventure,Safety Glasses,Stun Gun Pen,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=148&cscid=155,https://www.foxoutdoor.com/item_images_sm/1224.jpg,https://www.foxoutdoor.com/item_images_lg/1224.jpg,                                                  ,,,,,0.2,,                                                                                                    ,24718901008,UZI STUN GUN PEN                                      , Easy and safe to use . No permanent damage. Creates a bright  audible crackle. 1 year manufacturer's warranty. AAA Alkaline batteries included. Safety on/off switch,64.95,51.95,25.9
12-25               ,Enforcement,Personal Protection,Personal Protection Combo Pack,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=158,https://www.foxoutdoor.com/item_images_sm/1225.jpg,https://www.foxoutdoor.com/item_images_lg/1225.jpg,                                                  ,,,,,0.6,,                                                                                                    ,24718900049,UZI PERSONAL PROTECTION COMBO PACK                    , Quick release key chain . Holster. Uses 3 CR 123A Lithium batteries (included) . Loud audible crackling noise . Electronic safety switch with LED Indicator,69.95,55.95,27.9
12-260              ,Adventure,Safety Glasses,Jogger Stun Gun 4.8 Mil,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=148&cscid=1428,https://www.foxoutdoor.com/item_images_sm/12260.jpg,https://www.foxoutdoor.com/item_images_lg/12260.jpg,                                                  ,,5.5,2.5,1.25,0.6,,,7.24E+11,JOGGER 4.8 MIL STUN GUN - BLACK                       , Large capacity DC discharge. High capacity lithium ion battery. Comes with a synthetic leather holster with belt clip to carry. AC/DC wall charger included,29.95,23.95,11.9
12-2602             ,Enforcement,Personal Protection,Nitro 2.5 Mil Stun Gun & Flashlight,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1430,https://www.foxoutdoor.com/item_images_sm/122602.jpg,https://www.foxoutdoor.com/item_images_lg/122602.jpg,                                                  ,,3.5,1.5,0.875,0.5,Pink,,7.24E+11,NITRO 2.5 MIL STUN GUN & FLASHLIGHT - PINK            , LED bright flashlight. Rubberized exterior coating. Rechargeable battery. Optional key chain,29.95,23.95,11.9
12-2603             ,Enforcement,Personal Protection,Nitro 2.5 Mil Stun Gun & Flashlight,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1430,https://www.foxoutdoor.com/item_images_sm/122603.jpg,https://www.foxoutdoor.com/item_images_lg/122603.jpg,                                                  ,,3.5,1.5,0.875,0.5,Purple,,7.24E+11,NITRO 2.5 MIL STUN GUN & FLASHLIGHT - PURPLE          , LED bright flashlight. Rubberized exterior coating. Rechargeable battery. Optional key chain,29.95,23.95,11.9
12-2661             ,Adventure,Personal & Home Protection,3800 Type Stun Gun & Flashlight,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1489,https://www.foxoutdoor.com/item_images_sm/122661.jpg,https://www.foxoutdoor.com/item_images_lg/122661.jpg,                                                  ,,,,,0.35,                                                                                                    ,                                                                                                    ,8.21E+11,3800 TYPE STUN GUN & FLASHLIGHT - BLACK               , 3.5 million-volt charge. Easy and safe to use. Carry Case. Built-In Flashlight. Built-in rechargeable battery,17.95,14.95,6.9
12-267              ,Enforcement,Personal Protection,Sabre 3.8 Million Stun Gun & Flashlight (Black),https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1413,https://www.foxoutdoor.com/item_images_sm/12267.jpg,https://www.foxoutdoor.com/item_images_lg/12267.jpg,                                                  ,,,,,0.3,,,23063808093,SABRE 3.8 MILLION VOLT STUN GUN W/FLASHLIGHT -  BLACK , Safety switch to prevent accidental discharge. LED flashlight for safety. Belt holster included. Built-in plug for recharging,37.95,30.95,14.9
12-268              ,Enforcement,Personal Protection,Sabre 3.8 Million Stun Gun & Flashlight (Purple),https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1414,https://www.foxoutdoor.com/item_images_sm/12268.jpg,https://www.foxoutdoor.com/item_images_lg/12268.jpg,                                                  ,,,,,0.3,,,23063808079,SABRE 3.8 MILLION VOLT STUN GUN W/FLASHLIGHT -  PURPLE, Safety switch to prevent accidental discharge. LED flashlight for safety. Wrist strap included. Rechargeable (cord included),37.95,30.95,14.9
12-269              ,Enforcement,Personal Protection,Sabre 1 000 000 Stun Gun & Flashlight,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1415,https://www.foxoutdoor.com/item_images_sm/12269.jpg,https://www.foxoutdoor.com/item_images_lg/12269.jpg,                                                  ,,,,,0.6,,,23063808062,SABRE 1 MILLION VOLT STUN GUN W/FLASHLIGHT - BLACK    , Safety switch to prevent accidental discharge. LED flashlight for safety. Rechargeable (cord included). Aircraft-grade Aluminum,37.95,30.95,14.9
12-2691             ,Enforcement,Personal Protection,Sabre Stun Gun and Flashlight,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1625,https://www.foxoutdoor.com/item_images_sm/122691.jpg,https://www.foxoutdoor.com/item_images_lg/122691.jpg,                                                  ,,,,,0.6,,,23063808239,SABRE STUN GUN AND FLASHLIGHT - BLACK                 , Maximum strength. Safety switch to prevent accidental discharge. LED flashlight for safety. Rechargeable (cord included). Aircraft-grade Aluminum,40.95,32.95,16.25
12-2692             ,Adventure,Personal & Home Protection,Sabre Stun Gun & Flashlight,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1564,https://www.foxoutdoor.com/item_images_sm/122692.jpg,https://www.foxoutdoor.com/item_images_lg/122692.jpg,                                                  ,,,,,0.55,,,23063808130,SABRE STUN GUN & FLASHLIGHT - BLACK                   ,,62.95,50.95,24.9
12-2693             ,Adventure,Personal & Home Protection,Ruger Stun Gun & Flashlight,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1565,https://www.foxoutdoor.com/item_images_sm/122693.jpg,https://www.foxoutdoor.com/item_images_lg/122693.jpg,                                                  ,,,,,0.65,,,23063602028,RUGER STUN GUN & FLASHLIGHT - BLACK                   ,,48.95,39.95,19.25
12-271              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12271.jpg,https://www.foxoutdoor.com/item_images_lg/12271.jpg,                                                  ,,,,,0.2,,22 grams / Pink Concealable Lipstick (Maximum Strength) / 0.2 lbs.,23063154008,SABRE RED P/SPRAY 0.75 OZ PINK LIPSTICK               ,,13.95,11.95,5.5
12-2790             ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/122790.jpg,https://www.foxoutdoor.com/item_images_lg/122790.jpg,                                                  ,,,,,0.15,,Sabre Pepper Spray / 0.15 lbs,23063151250,SABRE PEPPER SPRAY - BLACK                            ,,19.95,15.95,7.75
12-281              ,Adventure,Personal & Home Protection,Sabre Red Personal Alarm,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1281,https://www.foxoutdoor.com/item_images_sm/12281.jpg,https://www.foxoutdoor.com/item_images_lg/12281.jpg,                                                  ,0.6 lbs,,,,0.1,Black,,23063809007,SABRE PERSONAL ALARM - BLACK                          , 10% oleoresin capsicum. 13.3% and UV dye 2 000 000 SHU's . Made in the USA,14.95,11.95,5.9
12-2812             ,Adventure,Personal & Home Protection,Sabre Red Personal Alarm,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1281,https://www.foxoutdoor.com/item_images_sm/122812.jpg,https://www.foxoutdoor.com/item_images_lg/122812.jpg,                                                  ,0.6 lbs,,,,0.1,Pink,,23063809144,SABRE PERSONAL ALARM - PINK                           , 10% oleoresin capsicum. 13.3% and UV dye 2 000 000 SHU's . Made in the USA,14.95,11.95,5.9
12-2813             ,Adventure,Personal & Home Protection,Sabre Red Personal Alarm,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1281,https://www.foxoutdoor.com/item_images_sm/122813.jpg,https://www.foxoutdoor.com/item_images_lg/122813.jpg,                                                  ,0.6 lbs,,,,0.1,Red,,23063809014,SABRE PERSONAL ALERM - RED                            , 10% oleoresin capsicum. 13.3% and UV dye 2 000 000 SHU's . Made in the USA,14.95,11.95,5.9
12-282              ,Adventure,Personal & Home Protection,Sabre Home Series Dorm/Apartment Kit,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1346,https://www.foxoutdoor.com/item_images_sm/12282.jpg,https://www.foxoutdoor.com/item_images_lg/12282.jpg,                                                  ,0.45 lbs,,,,0.45,,,23063809472,SABRE HOME SERIES DORM/APARTMENT KIT                  , 10% oleoresin capsicum. 13.3% and UV dye 2 000 000 SHU's . Made in the USA,39.95,31.95,15.75
12-283              ,Adventure,Personal & Home Protection,Sabre Door Stop Alarm,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1571,https://www.foxoutdoor.com/item_images_sm/12283.jpg,https://www.foxoutdoor.com/item_images_lg/12283.jpg,                                                  ,,,,,0.35,,,23063809342,SABRE DOOR STOP ALARM                                 ,,19.95,15.95,7.9
12-2831             ,Adventure,Personal & Home Protection,Ruger Pepper Gel & Door Stop Alarm,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1572,https://www.foxoutdoor.com/item_images_sm/122831.jpg,https://www.foxoutdoor.com/item_images_lg/122831.jpg,                                                  ,,,,,0.4,,,23063602073,RUGER PEPPER GEL & DOOR STOP ALARM                    ,,34.95,27.95,13.9
